Axamer - Lizum,2340,1560,780, 10, 1,0,0, 2,0,0,0, 3,,,,,,    41        ,    1      ,    6        ,    17        ,,    32        ,  4/12 - 10/4,                от €18.00 до €36.50                ,47.19444275,11.29138851,Axamer-Lizum,Аксамер-Лизум,Аксамер-Лизум / Axamer-Lizum,Тироль,tyrol,Австрия,
Alberschwende - Brueggelekopf,1200,720,480, 7,0,0,0,0,0,0,0, 6,,,,,,    18        ,,,,,, 28/11 -  3/4,                от €13.30 до €28.50                ,47.45166779,9.83361149,Alberschwende-Brueggelekopf,Альбершвенде-Брюгелькопф,Альбершвенде-Брюгелькопф / Alberschwende-Brueggelekopf,Форарльберг,vorarlberg,Австрия,
Almenwelt Lofer,1750,640,1110, 10, 2, 1, 1,0, 1,0,0, 5,    15      ,,,,,    46        ,    2      ,    9        ,    45        ,,    36        , 17/12 -  1/4,                от €17.00 до €39.50                ,47.58916855,12.69111156,Almenwelt-Lofer,Альменвельт-Лофер,Альменвельт-Лофер / Almenwelt-Lofer,Зальцбург,salzburg,Австрия,
Ski Juwel Alpbachtal WildschГ¶nau,2025,816,1209, 47, 7,0,0,0, 7, 1,0, 32,    97      ,,,,,    145        ,    3      ,    4        ,    18        ,    12        ,    4        ,  4/12 - 10/4,                от €22.00 до €43.00                ,47.40000153,11.9333334,Alpbach-Ski-Juwel-Alpbachtal-Wildschoenau,Альпбах-Ски-Джувель-Альпбахталь-Вильдшенау,Альпбах-Ски-Джувель-Альпбахталь-Вильдшенау / Alpbach-Ski-Juwel-Alpbachtal-Wildschoenau,Тироль,tyrol,Австрия,
Alpenarena Hochhaderich,1600,1250,350, 5,0,0,0,0, 1,0,0, 4,    9      ,,,,,    10        ,,,,    1        ,, 28/11 - 10/4,                от €15.00 до €29.00                ,47.50444412,9.96444416,Alpenarena-Hochhaderich,Альпенарена-Хоххадерих,Альпенарена-Хоххадерих / Alpenarena-Hochhaderich,Форарльберг,vorarlberg,Австрия,
Hochlecken Skilifte,1150,850,300, 4,0,0,0,0,0,0,0, 4,    4      ,,,,,    3        ,    1      ,,,,, 19/12 - 13/3,                от €8.50 до €17.00                ,47.838855,13.616266,Altmunster,Альтмустер,Альтмустер / Altmunster,Верхняя Австрия,upper-austria,Австрия,
Andelsbuch Niedere,1547,655,892, 7, 1,0,0,0,0,0,0, 4,,,,,,    15        ,,    7        ,,    1        ,, 12/12 - 13/3,                от €14.00 до €30.80                ,47.41666794,9.89999962,Andelsbuch-Niedere,Андельсбух-Нидер,Андельсбух-Нидер / Andelsbuch-Niedere,Форарльберг,vorarlberg,Австрия,
Ankogel,2636,1267,1369, 6, 2,0,0,0,0,0,0, 4,    12      ,,,,,    13        ,,    7        ,    28        ,    14        ,, 19/12 - 27/3,                от €0.00 до €44.00                ,46.98333359,13.16666698,Ankogel,Анкогель,Анкогель / Ankogel,Каринтия,carinthia,Австрия,
Wildkogel-Arena,2150,820,1330, 18, 4,0, 2, 2,0,0,0, 10,    24      ,,,,,    62        ,    1      ,    14        ,    53        ,    40        ,    40        , 12/12 - 10/4,                от €12.50 до €43.00                ,47.253864,12.279493,Arena-Wildkogel,Арена-Вильдкогель,Арена-Вильдкогель / Arena-Wildkogel,Зальцбург,salzburg,Австрия,
Aichelberglifte Karlstift,1036,900,136, 3,0,0,0,0,0,0,0, 3,,,,,,    9        ,,,,,, 19/12 -  3/4,                от €14.20 до €21.80                ,48.596365,14.751785,Aichelberglifte-Karlstift,Ахельберглифт-Карслифт,Ахельберглифт-Карслифт / Aichelberglifte-Karlstift,Нижняя Австрия,lower-austria,Австрия,
Achensee - Christlum,1800,950,850, 10,0,0, 1, 1,0,0,0, 6,,,,,,    27        ,,    6        ,,    11        ,    27        , 27/11 -  3/4,                от €20.00 до €40.00                ,47.50699997,11.68000031,Achensee-Christlum,Ахензее-Кристлум,Ахензее-Кристлум / Achensee-Christlum,Тироль,tyrol,Австрия,
